year,F_t,E_t,logF,logE,logF_mm,logE_mm,O_star,O_t
1998,3,3,1.3862943611198906,1.3862943611198906,0.04849463623999981,0.0,0.04849463623999981,0.0
1999,4,5,1.6094379124341003,1.791759469228055,0.08610999842805592,0.06297458656961942,0.14908458499767535,0.051544797480785345
2000,2,5,1.0986122886681098,1.791759469228055,0.0,0.06297458656961942,0.06297458656961942,0.007419887538367217
2001,11,12,2.4849066497880004,2.5649493574615367,0.23368797433611468,0.183062141768881,0.4167501161049957,0.18870328860150887
2002,15,20,2.772588722239781,3.044522437723423,0.2821826105761145,0.2575467665996682,0.5397293771757827,0.2517209278837503
2003,19,33,2.995732273553991,3.5263605246161616,0.3197979727641706,0.3323831796689573,0.6521811524331279,0.3093440209818304
2004,45,110,3.828641396489095,4.709530201312334,0.4602016642193804,0.5161465164929364,0.9763481807123169,0.4754552878525556
2005,44,142,3.8066624897703196,4.962844630259907,0.4564966746202856,0.5554899053964203,1.0119865800167058,0.4937172921320231
2006,205,524,5.327876168789581,6.263398262591624,0.7129280308693471,0.7574846656603739,1.470412696529721,0.7286262629327784
2007,152,410,5.030437921392435,6.018593214496234,0.6627887938690806,0.7194629064863381,1.3822517003554187,0.6834503706131995
2008,133,348,4.897839799950911,5.855071922202427,0.6404366966020817,0.6940656883987455,1.3345023850008273,0.6589824310208676
2009,140,260,4.948759890378168,5.564520407322694,0.6490203085092562,0.6489388423130233,1.2979591508222796,0.6402567667940785
2010,221,346,5.402677381872279,5.849324779946859,0.7255372893741994,0.6931730742125586,1.418710363586758,0.7021326985782601
2011,308,577,5.733341276897746,6.359573868672378,0.7812773817974047,0.7724221261468687,1.5536995079442733,0.7713045014665849
2012,315,608,5.755742213586912,6.411818267709897,0.7850535130902522,0.7805364357734527,1.5655899488637048,0.7773974598259317
2013,297,511,5.697093486505405,6.238324625039508,0.7751670830408668,0.7535903676626784,1.5287574507035453,0.7585235695235276
2014,317,558,5.762051382780177,6.326149473155099,0.786117051260693,0.7672308348447363,1.5533478861054293,0.7711243216703242
2015,428,840,6.061456918928017,6.734591659972948,0.8365879145994757,0.830667804729661,1.6672557193291366,0.8294935351703266
2016,803,1755,6.6895992691789665,7.470793774195062,0.942474021866254,0.9450106244882714,1.8874846463545254,0.9423443277508142
2017,817,1708,6.706862336602747,7.443663683115591,0.945384061299605,0.9407969295607412,1.8861809908603462,0.9416763021750775
2018,875,1712,6.775366090936392,7.44600149832412,0.9569317556664176,0.9411600260227776,1.8980917816891951,0.947779688335339
2019,688,1206,6.535241271013659,7.095893221097532,0.9164538569391683,0.8867831546914362,1.8032370116306045,0.8991737393996762
2020,670,1180,6.508769136971682,7.074116816197362,0.9119914429280298,0.8834009645395897,1.7953924074676195,0.8951539686582468
2021,958,1907,6.8658910748834385,7.553810852008231,0.9721915740128656,0.9579043755138408,1.9300959495267063,0.9641794218087065
2022,1130,2501,7.030857476116121,7.824845691026856,1.0,1.0,2.0,1.0
2023,773,2057,6.651571873589727,7.629489916393995,0.9360637346330659,0.9696584270866279,1.9057221617196938,0.951689685290611
2024,520,924,6.255750041753367,6.829793737512425,0.8693399531086817,0.8454540621750686,1.7147940152837502,0.8538533431613335
2025,453,865,6.118097198041348,6.763884908562435,0.8461357800911408,0.8352174692564343,1.6813532493475751,0.8367174610073925
