年份,R&D人员全时当量,R&D经费内部支出,专利授权数,技术市场成交额,R&D人员全时当量_std,R&D经费内部支出_std,专利授权数_std,技术市场成交额_std,S_raw,S_t
1998,730354.0,4856716.3,54994,4358228.0,0.0022531662435165112,0.0,0.0,0.0,0.0003665901478201364,0.0
1999,714911.0,6005353.0,82144,5234543.0,0.0,0.003204800608234869,0.006176211054894573,0.0013249041941179808,0.0028428621760137815,0.262261186643606
2000,922133.0,8914503.1,85380,6595187.0,0.030234126485396525,0.011321593332972401,0.006912351716907053,0.0033820673629573433,0.010472811376243,1.0703466911841697
2001,920837.0,10436059.0,88922,7827489.0,0.030045037354295222,0.01556687234398028,0.007718102713460887,0.005245189742718018,0.012244781339761843,1.2580154691044516
2002,1051773.0,12968710.0,100728,8841713.0,0.049148875679819924,0.02263319842014226,0.010403787712138063,0.006778599111923287,0.018178964084095764,1.8865028850949699
2003,1065243.0,15625486.0,136680,10846727.0,0.05111417706557188,0.030045844508103582,0.018582319566486854,0.00980998789091859,0.02340662415917639,2.440162708834187
2004,1152611.0,19663303.0,138790,13343630.0,0.06386135237888863,0.04131172028722599,0.019062312396167427,0.013585065639223445,0.029412667981600266,3.0762609088576327
2005,1364835.0,24499761.0,158136,15513695.0,0.09482528120515607,0.054805876916647976,0.02346323243550409,0.01686599569292404,0.03977107025783266,4.173316014987554
2006,1502474.0,30030966.0,208761,17433909.0,0.11490710135612214,0.07023844071011875,0.03497964807653679,0.019769175008813946,0.05058944367781823,5.319086519348794
2007,1734789.0,37102437.0,283704,21195975.0,0.14880234942078174,0.08996848639115544,0.05202803795082644,0.025457057815736865,0.06706837170775354,7.064364570604741
2008,1965361.0,46160239.0,333025,25229613.0,0.182443290112363,0.11524057578101302,0.06324781347342148,0.03155553142825481,0.08329788906513412,8.78322761648121
2009,2291222.0,58020448.0,483366,28605733.0,0.22998709670943182,0.1483316349618599,0.0974480987847992,0.0366599009162193,0.10941712022876682,11.549507120995035
2010,2553857.6,70625816.6,719408,36293768.9,0.26830618420963936,0.1835017570346656,0.15114405494757727,0.048283473499639185,0.14202728916966986,15.003239790797213
2011,2882942.0,86870121.0,863927,44638098.0,0.3163202916594797,0.2288248401483014,0.18401992402464207,0.06089929842753694,0.17316575298850556,18.301104636988587
2012,3246845.0,102984094.0,1143172,58410952.4,0.369414506223644,0.2737842868310343,0.2475439039886949,0.08172253272061224,0.21618506671406737,22.857266535925618
2013,3532822.0,118444841.0,1210191,71189662.7,0.41113915317191324,0.31692117370689804,0.2627897046770183,0.10104271652653665,0.243339487412279,25.733182636358094
2014,3710579.0,130156297.0,1191643,80733679.10000001,0.43707427406479443,0.34959719852145943,0.2585703174708973,0.11547235353730424,0.25863924161675034,27.353574761025897
2015,3758850.0,141698852.0,1578241,93683222.1,0.44411711468778126,0.38180197422171724,0.34651546816703477,0.13505081999355698,0.29752673027645105,31.47213637516425
2016,3878060.0,156767486.0,1611911,109308717.0,0.46151010490273975,0.4238448302513641,0.35417487981411766,0.15867506895446615,0.3199024664754539,33.84194351297515
2017,4033598.3,176061295.0,1705111,129206347.8,0.48420347064346003,0.4776763078790312,0.375376458831288,0.1887583774678787,0.35165455776840726,37.20479745070693
2018,4381444.9,196779293.7,2319209,171372459.9,0.5349550226114709,0.5354814039857194,0.5150743909266341,0.25250949295824343,0.4325725905414521,45.774800687146744
2019,4800769.5,221435773.6,2457641,217492406.8,0.5961353654073048,0.6042752199768424,0.5465655603097341,0.322238427280158,0.4903397767709971,51.89290509455069
2020,5234508.600000001,243931123.7,3504074,272937806.3,0.6594188141292652,0.6670392877477367,0.7846131132676161,0.4060665511192992,0.607977540699595,64.35188343406689
2021,5716330.5,279563072.7,4450893,359581031.1,0.7297176446976125,0.7664556583266968,1.0,0.5370627932576023,0.7449811089531088,78.86188797940152
2022,6353574.0,307828824.0,4187454,457610644.0,0.8226928142307546,0.8453196689912137,0.9400716440482367,0.6852741616342386,0.8123638927932514,85.99837728593236
2023,7240582.3,333570688.2,3520988,586505783.0,0.9521091944210651,0.9171418056557129,0.7884607903866763,0.8801512438050563,0.8752996693708126,92.66388546098062
2024,7568821.600000001,363268000.0,3550760,665775864.0,1.0,1.0,0.7952334664649938,1.0,0.9445673161053063,100.0
