province,stage,O_std,T_std,quadrant
上海,S1,1.0,0.5146319356352214,HH
内蒙古,S1,0.24216178732149263,0.04415559488484137,LL
北京,S1,0.4569060053449769,1.0,LH
吉林,S1,0.3964572628271226,0.12089786217300691,LL
四川,S1,0.5824210451739454,0.32878246017697593,HH
宁夏,S1,0.4474690388490147,0.003776380847880136,LL
安徽,S1,0.3141669782149091,0.12892390736295412,LL
山东,S1,0.4979428794355113,0.45122895911681987,HH
山西,S1,0.18377590122060228,0.08552851447453173,LL
广东,S1,0.8487172896521681,0.7205075299253082,HH
广西,S1,0.4979428794355113,0.05860493902453884,HL
新疆,S1,0.0,0.029991478221530758,LL
江苏,S1,0.7977611204107847,0.5992629290379591,HH
江西,S1,0.0,0.08600762925120892,LL
河北,S1,0.5292281936647381,0.1795035510463775,HH
河南,S1,0.8487660907937716,0.2145927685663609,HH
浙江,S1,0.8726216881634913,0.35104239509902,HH
海南,S1,0.0,0.0007448894719491886,LL
湖北,S1,0.6283339564298182,0.2788460346891228,HH
湖南,S1,0.18377590122060228,0.18241797807565435,LH
甘肃,S1,0.5043187967515254,0.07531154912623089,HL
福建,S1,0.5106947140675393,0.15873833472758755,HL
辽宁,S1,0.5802331640477248,0.3765841619423058,HH
重庆,S1,0.5292281936647381,0.12798197871880407,HL
陕西,S1,0.5104158542805289,0.2918223223011052,HH
青海,S1,0.43433244972609764,0.0,LL
黑龙江,S1,0.0,0.1767254978361635,LH
上海,S2,0.8273483831527608,0.47967439005186036,HH
云南,S2,0.4441505468132283,0.0524757233430539,LL
内蒙古,S2,0.4603826905749536,0.05547641622995243,LL
北京,S2,0.7124811822145057,1.0,HH
吉林,S2,0.6522170126741782,0.07675699858808888,LL
四川,S2,0.7948698315937,0.2524316376482988,HH
天津,S2,0.43778978587878037,0.2273629650340953,LH
宁夏,S2,0.5020019686569228,0.01110455823758517,LL
安徽,S2,0.7469498946561317,0.2073429309567138,HH
山东,S2,0.9311929896872441,0.5515994368838024,HH
山西,S2,0.6858127932345003,0.08427039108070687,HL
广东,S2,0.9716944590706664,0.9311859029740855,HH
广西,S2,0.616151058693818,0.05911194715441548,LL
新疆,S2,0.4710848194819851,0.026699516134284413,LL
江苏,S2,1.0,0.9614696471471689,HH
江西,S2,0.7526354650062073,0.08077039918989493,HL
河北,S2,0.661794027393517,0.14896792622577607,LH
河南,S2,0.9324039328442331,0.21752885770031352,HH
浙江,S2,0.9498719951026048,0.6483231689293625,HH
海南,S2,0.3076821992505114,0.007558535637287202,LL
湖北,S2,0.7430270514362862,0.2761718085849142,HH
湖南,S2,0.6763219713226758,0.17901343486910215,HH
甘肃,S2,0.4601573452653065,0.05360183678607891,LL
福建,S2,0.8583260136979556,0.19452541404813398,HH
西藏,S2,0.0,0.0,LL
贵州,S2,0.6747615036935093,0.036149256306762724,LL
辽宁,S2,0.8041730679461051,0.2311529033428477,HH
重庆,S2,0.5130422245693737,0.12101819981651074,LL
陕西,S2,0.893668692432919,0.22929922173697748,HH
青海,S2,0.2501504103458432,0.009891522195018328,LL
黑龙江,S2,0.6042534993617216,0.1237900389615178,LL
上海,S3,0.7488512428215454,0.42381136926832874,HH
云南,S3,0.6996018368170115,0.05763900180332319,HL
内蒙古,S3,0.4839000023492332,0.032295583970785455,LL
北京,S3,0.706452734240501,0.7937308605101531,HH
吉林,S3,0.4670125684566277,0.050216609600556156,LL
四川,S3,0.7455043767464337,0.27175735231670295,HH
天津,S3,0.5260927913353761,0.1820603759240588,LH
宁夏,S3,0.3964332607864292,0.012607344392037059,LL
安徽,S3,0.8389068508299492,0.28974603856935366,HH
山东,S3,0.8612612813659711,0.5217770009227355,HH
山西,S3,0.665507144659627,0.05142442205693844,LL
广东,S3,0.9930196746500045,1.0,HH
广西,S3,0.8691000015557484,0.055568409322724936,HL
新疆,S3,0.3099160304280127,0.019560617078411308,LL
江苏,S3,1.0,0.805106351517212,HH
江西,S3,0.6218398872665098,0.1393621467929962,LL
河北,S3,0.6121719973104921,0.17944985993645485,LH
河南,S3,0.8946349536743373,0.2197578642997778,HH
浙江,S3,0.9570064446518025,0.61635867002949,HH
海南,S3,0.44649246777413776,0.011496580348697511,LL
湖北,S3,0.6972210766181814,0.35390122134032714,HH
湖南,S3,0.6655125455127727,0.26573957053830416,LH
甘肃,S3,0.5704056242286984,0.0447184351235308,LL
福建,S3,0.8412765682960105,0.19311407955671406,HH
西藏,S3,0.0,0.0,LL
贵州,S3,0.5064056827185828,0.05250241747543191,LL
辽宁,S3,0.7020792263181767,0.15099685380232786,HH
重庆,S3,0.7196031973062368,0.12038004922506504,HL
陕西,S3,0.771614178902415,0.2688474029603246,HH
青海,S3,0.2608118274384082,0.005704923370795734,LL
黑龙江,S3,0.611641732128105,0.05516296297396915,LL
