province,stage,F,E,T_avg
上海,S1,14.0,22.0,2.5369414818188365
上海,S2,89.0,196.0,9.947340288610617
上海,S3,230.0,525.0,31.888275243081466
云南,S1,0.0,0.0,0.4269528823705238
云南,S2,26.0,60.0,1.1152278144119006
云南,S3,221.0,408.0,4.450529096269367
内蒙古,S1,2.0,3.0,0.2648103822847491
内蒙古,S2,35.0,50.0,1.1772655948239845
内蒙古,S3,107.0,239.0,2.551515607633537
北京,S1,1.0,18.0,4.880991072080799
北京,S2,70.0,122.0,20.70480436421955
北京,S3,201.0,469.0,59.606797986120085
吉林,S1,3.0,5.0,0.6354315528968392
吉林,S2,52.0,112.0,1.6172306779351284
吉林,S3,111.0,208.0,3.894360113690248
四川,S1,3.0,14.0,1.6393950242280555
四川,S2,86.0,166.0,5.249213387519863
四川,S3,244.0,484.0,20.49468061822085
天津,S1,0.0,0.0,0.9237511006932027
天津,S2,29.0,52.0,4.730931488811526
天津,S3,141.0,231.0,13.773575785991344
宁夏,S1,2.0,10.0,0.06980191949617932
宁夏,S2,28.0,80.0,0.2599002774249678
宁夏,S3,81.0,189.0,1.0762515854488397
安徽,S1,3.0,3.0,0.6741927515009163
安徽,S2,83.0,128.0,4.3170275923622174
安徽,S3,322.0,633.0,21.842595018020692
山东,S1,5.0,5.0,2.2307414409820896
山东,S2,144.0,233.0,11.434353598426801
山东,S3,360.0,644.0,39.228960590406565
山西,S1,2.0,2.0,0.4646178734081646
山西,S2,67.0,108.0,1.7725661991548964
山西,S3,187.0,396.0,3.9848629875160335
广东,S1,10.0,15.0,3.5312026165562282
广东,S2,158.0,273.0,19.282108339848342
广东,S3,441.0,1143.0,75.0627984659615
广西,S1,5.0,5.0,0.3345924336740159
广西,S2,55.0,85.0,1.2524283247914265
广西,S3,371.0,654.0,4.295377053395509
新疆,S1,1.0,1.0,0.19640581614480768
新疆,S2,31.0,60.0,0.5823180022628759
新疆,S3,67.0,137.0,1.597268865313715
江苏,S1,9.0,13.0,2.9456606785974238
江苏,S2,163.0,315.0,19.90820915785218
江苏,S3,516.0,1012.0,60.4591775272302
江西,S1,1.0,1.0,0.46693172320260545
江西,S2,71.0,154.0,1.700205668920598
江西,S3,169.0,339.0,10.57414492798572
河北,S1,5.0,6.0,0.9184634436959016
河北,S2,58.0,107.0,3.110154426213134
河北,S3,181.0,298.0,13.577966610247307
河南,S1,9.0,17.0,1.0879242549628627
河南,S2,125.0,269.0,4.527616383161847
河南,S3,375.0,753.0,16.598294984728337
浙江,S1,10.0,17.0,1.7468977529079153
浙江,S2,136.0,276.0,13.434066956457826
浙江,S3,510.0,793.0,46.3160814593534
海南,S1,1.0,1.0,0.05516155347429554
海南,S2,22.0,30.0,0.18658808597276394
海南,S3,100.0,205.0,0.9930206686509749
湖北,S1,7.0,7.0,1.398230707294386
湖北,S2,76.0,136.0,5.740029198075314
湖北,S3,218.0,408.0,26.649821819591207
湖南,S1,2.0,2.0,0.9325384560121024
湖南,S2,58.0,117.0,3.7313298473041554
湖南,S3,183.0,405.0,20.043760823410295
甘肃,S1,1.0,23.0,0.4152757860383488
甘肃,S2,39.0,45.0,1.138509630022724
甘肃,S3,156.0,271.0,3.482375133458444
福建,S1,4.0,7.0,0.8181793492582853
福建,S2,109.0,195.0,4.052032029879141
福建,S3,322.0,642.0,14.601843403109873
西藏,S1,0.0,0.0,0.005491209561633818
西藏,S2,6.0,14.0,0.03031925348068055
西藏,S3,27.0,54.0,0.13156775414579486
贵州,S1,0.0,0.0,0.2124727815119838
贵州,S2,59.0,114.0,0.7776865147591298
贵州,S3,138.0,210.0,4.0656385109254485
辽宁,S1,5.0,8.0,1.8702498489753119
辽宁,S2,74.0,203.0,4.809286511946446
辽宁,S3,219.0,418.0,11.445947843166332
重庆,S1,5.0,6.0,0.6696437759615685
重庆,S2,40.0,61.0,2.532308223715553
重庆,S3,215.0,473.0,9.151792995728876
陕西,S1,2.0,14.0,1.4608987398518984
陕西,S2,110.0,240.0,4.7709625991858315
陕西,S3,269.0,511.0,20.276634531638365
青海,S1,1.0,16.0,0.051564164215078236
青海,S2,15.0,30.0,0.23482138182413004
青海,S3,64.0,107.0,0.5590446834361193
黑龙江,S1,1.0,1.0,0.9050470387710116
黑龙江,S2,48.0,90.0,2.589614570848365
黑龙江,S3,150.0,361.0,4.2649964594956264
