rank,province,policy_file_count,policy_entry_count,category_variety,dominant_category_code,dominant_category,dominant_category_count
1,江苏省,694,1350,8,OI,Open infrastructure,347
2,浙江省,664,1099,8,OERs,Open educational resources,444
3,广东省,618,1449,8,CS,Citizen science,398
4,山东省,512,885,8,OI,Open infrastructure,330
5,河南省,509,1039,7,OERs,Open educational resources,564
6,福建省,441,851,8,OERs,Open educational resources,440
7,广西壮族自治区,434,747,8,OERs,Open educational resources,242
8,安徽省,408,764,7,OERs,Open educational resources,263
9,陕西省,381,765,8,OERs,Open educational resources,320
10,上海市,336,749,8,OERs,Open educational resources,205
11,四川省,334,665,7,OI,Open infrastructure,262
12,辽宁省,304,640,7,OERs,Open educational resources,308
13,湖北省,302,552,8,OERs,Open educational resources,187
14,北京市,274,614,8,OERs,Open educational resources,267
15,重庆市,263,544,8,OI,Open infrastructure,318
16,山西省,258,508,7,OI,Open infrastructure,184
17,云南省,250,477,8,OI,Open infrastructure,141
18,河北省,245,413,7,OI,Open infrastructure,154
19,湖南省,244,526,8,OERs,Open educational resources,209
20,江西省,242,495,7,OERs,Open educational resources,214
21,黑龙江省,201,454,7,OI,Open infrastructure,238
22,贵州省,197,324,8,OI,Open infrastructure,92
23,甘肃省,196,339,7,OI,Open infrastructure,134
24,天津市,173,288,8,OERs,Open educational resources,102
25,吉林省,169,328,8,OI,Open infrastructure,109
26,内蒙古自治区,145,293,8,OERs,Open educational resources,94
27,海南省,123,236,7,OERs,Open educational resources,126
28,宁夏回族自治区,111,279,8,OD,Open data,82
29,新疆维吾尔自治区,99,198,7,OI,Open infrastructure,65
30,青海省,81,154,7,OI,Open infrastructure,62
31,西藏自治区,33,68,5,OI,Open infrastructure,28
32,澳门特别行政区,1,3,2,OD,Open data,2
33,香港特别行政区,1,3,2,OD,Open data,2
