rank,city,policy_file_count,category_variety,dominant_category_code,dominant_category,dominant_category_count
1,吉林市,122,8,OI,Open infrastructure,88
2,广州市,115,5,OERs,Open educational resources,62
3,青岛市,90,7,OI,Open infrastructure,64
4,深圳市,89,6,OI,Open infrastructure,102
5,苏州市,88,7,OI,Open infrastructure,56
6,西安市,82,8,OERs,Open educational resources,65
7,南京市,80,6,OI,Open infrastructure,49
8,宁波市,75,8,OERs,Open educational resources,35
9,厦门市,70,8,OI,Open infrastructure,45
10,济南市,70,8,OI,Open infrastructure,76
11,郑州市,65,7,OD,Open data,63
12,成都市,61,6,OI,Open infrastructure,46
13,杭州市,56,8,OERs,Open educational resources,25
14,武汉市,56,6,OI,Open infrastructure,21
15,合肥市,52,6,OERs,Open educational resources,29
16,沈阳市,47,6,OI,Open infrastructure,33
17,福州市,45,8,OERs,Open educational resources,52
18,无锡市,44,7,OI,Open infrastructure,29
19,淄博市,41,7,OI,Open infrastructure,27
20,石家庄市,39,5,OI,Open infrastructure,40
21,南昌市,38,4,OERs,Open educational resources,23
22,珠海市,36,6,OI,Open infrastructure,19
23,南宁市,36,6,OI,Open infrastructure,32
24,大连市,36,5,OERs,Open educational resources,32
25,贵阳市,36,8,OD,Open data,22
26,泉州市,35,4,OERs,Open educational resources,28
27,邯郸市,33,4,OI,Open infrastructure,19
28,昆明市,32,6,OD,Open data,19
29,长沙市,30,6,OI,Open infrastructure,12
30,东营市,28,6,OI,Open infrastructure,19
31,淮南市,28,6,OERs,Open educational resources,23
32,南通市,27,5,CS,Citizen science,21
33,银川市,26,7,OD,Open data,17
34,新乡市,26,5,OD,Open data,13
35,常州市,25,6,OERs,Open educational resources,19
36,扬州市,25,5,CS,Citizen science,19
37,襄阳市,24,6,CS,Citizen science,13
38,太原市,24,5,OI,Open infrastructure,28
39,兰州市,22,4,OI,Open infrastructure,15
40,鞍山市,22,5,CS,Citizen science,17
41,徐州市,22,5,OI,Open infrastructure,12
42,三明市,22,4,OERs,Open educational resources,20
43,温州市,22,4,OERs,Open educational resources,14
44,安阳市,22,6,OI,Open infrastructure,28
45,宁德市,20,4,OERs,Open educational resources,13
46,洛阳市,20,6,OI,Open infrastructure,12
47,忻州市,19,4,OI,Open infrastructure,15
48,长春市,19,6,OI,Open infrastructure,18
49,台州市,19,5,OI,Open infrastructure,12
50,宿迁市,18,5,OD,Open data,11
51,江门市,18,5,CS,Citizen science,28
52,衢州市,18,5,OI,Open infrastructure,10
53,马鞍山市,18,4,OI,Open infrastructure,28
54,镇江市,18,5,CS,Citizen science,26
55,滁州市,17,5,CS,Citizen science,13
56,普洱市,17,4,OERs,Open educational resources,11
57,赣州市,17,5,OERs,Open educational resources,14
58,烟台市,16,5,OD,Open data,8
59,汕头市,16,4,OI,Open infrastructure,13
60,佛山市,16,8,OI,Open infrastructure,12
61,哈尔滨市,16,4,CS,Citizen science,9
62,梅州市,15,5,OD,Open data,8
63,楚雄彝族自治州,15,4,OERs,Open educational resources,11
64,湖州市,15,3,OERs,Open educational resources,13
65,蚌埠市,15,3,OERs,Open educational resources,9
66,广安市,14,5,OD,Open data,18
67,青浦区,14,5,CS,Citizen science,23
68,绍兴市,14,4,OI,Open infrastructure,15
69,德州市,14,4,CS,Citizen science,11
70,淮安市,14,5,CS,Citizen science,10
71,桂林市,14,6,OD,Open data,8
72,遵义市,13,5,OI,Open infrastructure,17
73,包头市,13,6,OD,Open data,7
74,丽水市,13,6,OD,Open data,10
75,金昌市,13,4,OI,Open infrastructure,7
76,十堰市,13,5,OD,Open data,7
77,内江市,13,4,OI,Open infrastructure,7
78,舟山市,13,5,OI,Open infrastructure,11
79,沧州市,13,3,OI,Open infrastructure,7
80,宜昌市,13,4,OERs,Open educational resources,10
81,枣庄市,13,4,OI,Open infrastructure,11
82,泰州市,13,5,CS,Citizen science,8
83,芜湖市,13,6,CS,Citizen science,13
84,惠州市,13,6,CS,Citizen science,12
85,葫芦岛市,13,5,OERs,Open educational resources,8
86,咸阳市,13,4,OERs,Open educational resources,6
87,鄂尔多斯市,12,6,OERs,Open educational resources,11
88,中山市,12,4,CS,Citizen science,10
89,平顶山市,12,4,OERs,Open educational resources,9
90,许昌市,12,5,OD,Open data,8
91,鹰潭市,12,4,OERs,Open educational resources,9
92,滨州市,12,5,CS,Citizen science,11
93,威海市,12,5,OD,Open data,6
94,南平市,12,4,OD,Open data,6
95,漳州市,12,3,OERs,Open educational resources,6
96,抚顺市,12,4,CS,Citizen science,10
97,宝鸡市,12,5,CS,Citizen science,16
98,廊坊市,12,4,OI,Open infrastructure,10
99,双鸭山市,12,4,OI,Open infrastructure,5
100,亳州市,11,4,OERs,Open educational resources,8
101,淮北市,11,5,CS,Citizen science,12
102,晋城市,11,3,OERs,Open educational resources,6
103,开封市,11,5,OI,Open infrastructure,5
104,本溪市,11,6,OD,Open data,6
105,连云港市,11,3,OI,Open infrastructure,7
106,衡水市,11,4,OI,Open infrastructure,7
107,平凉市,11,5,OERs,Open educational resources,7
108,天水市,11,3,OI,Open infrastructure,8
109,嘉峪关市,11,4,CS,Citizen science,11
110,菏泽市,11,3,OD,Open data,6
111,嘉兴市,11,5,CS,Citizen science,18
112,萍乡市,11,4,CS,Citizen science,12
