governance_level,category_code,entry_count,entry_share
中央,CS,803,0.24496644295302014
中央,OA,66,0.020134228187919462
中央,OD,573,0.17480170835875533
中央,OERs,1042,0.31787675411836486
中央,OI,589,0.17968273337400853
中央,OPR,74,0.022574740695546065
中央,ORM,1,0.0003050640634533252
中央,OSS,130,0.03965832824893228
地市级,CS,1618,0.18453467153284672
地市级,OA,106,0.012089416058394161
地市级,OD,1788,0.20392335766423358
地市级,OERs,2266,0.2584397810218978
地市级,OI,2421,0.27611770072992703
地市级,OPR,126,0.01437043795620438
地市级,ORM,35,0.0039917883211678835
地市级,OSS,408,0.046532846715328466
省级,CS,750,0.07726383022561038
省级,OA,115,0.011847120634593592
省级,OD,1564,0.16112084063047286
省级,OERs,3737,0.38497991140414134
省级,OI,2901,0.29885649531266095
省级,OPR,171,0.017616153291439167
省级,ORM,22,0.0022664056866179044
省级,OSS,447,0.04604924281446379
