authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
中国科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,249
教育部,education_talent,教育与人才培养,Education and talent,教育,227
科学技术部,science_technology,科技创新与科研管理,Science and technology,科学技术,184
河南省教育厅,education_talent,教育与人才培养,Education and talent,教育,142
重庆市科学技术局(原重庆市科学技术委员会),science_technology,科技创新与科研管理,Science and technology,科学技术,117
福建省教育厅,education_talent,教育与人才培养,Education and talent,教育,97
陕西省教育厅,education_talent,教育与人才培养,Education and talent,教育,96
上海市教育委员会,education_talent,教育与人才培养,Education and talent,教育,85
财政部,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,85
浙江省教育厅,education_talent,教育与人才培养,Education and talent,教育,84
安徽省教育厅,education_talent,教育与人才培养,Education and talent,教育,78
陕西省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,76
湖南省教育厅,education_talent,教育与人才培养,Education and talent,教育,69
国家发展和改革委员会(含原国家发展计划委员会、原国家计划委员会),macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,65
北京市教育委员会,education_talent,教育与人才培养,Education and talent,教育,64
广西壮族自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,63
国务院,party_government_general,党政综合与战略协调,Party-government general,国务院,63
工业和信息化部,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,62
黑龙江省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,60
上海市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,57
山西省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,57
河南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,57
江苏省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,55
江苏省教育厅,education_talent,教育与人才培养,Education and talent,教育,54
广东省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,54
上海市科学技术委员会,science_technology,科技创新与科研管理,Science and technology,科学技术,53
湖北省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,51
南京市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,50
北京市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,49
重庆市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,48
浙江省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,48
人力资源和社会保障部,education_talent,教育与人才培养,Education and talent,人力资源,48
山东省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,47
江西省教育厅,education_talent,教育与人才培养,Education and talent,教育,47
湖南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,47
云南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,46
山东省教育厅,education_talent,教育与人才培养,Education and talent,教育,45
陕西省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,44
江西省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,44
四川省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,42
福建省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,42
辽宁省教育厅,education_talent,教育与人才培养,Education and talent,教育,41
国务院办公厅,party_government_general,党政综合与战略协调,Party-government general,国务院,41
海南省教育厅,education_talent,教育与人才培养,Education and talent,教育,40
安徽省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,39
吉林省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,39
广西壮族自治区教育厅,education_talent,教育与人才培养,Education and talent,教育,39
云南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,38
山西省教育厅,education_talent,教育与人才培养,Education and talent,教育,38
湖北省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,38
广州市教育局,education_talent,教育与人才培养,Education and talent,教育,38
天津市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,37
贵州省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,36
广西壮族自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,36
深圳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,35
海南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,34
天津市教育委员会,education_talent,教育与人才培养,Education and talent,教育,33
西安市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,33
甘肃省教育厅,education_talent,教育与人才培养,Education and talent,教育,33
安徽省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,33
湖北省教育厅,education_talent,教育与人才培养,Education and talent,教育,32
广州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,32
辽宁省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,31
河南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,31
四川省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,30
重庆市教育委员会,education_talent,教育与人才培养,Education and talent,教育,30
四川省教育厅,education_talent,教育与人才培养,Education and talent,教育,30
河北省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,30
湖南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,29
贵州省教育厅,education_talent,教育与人才培养,Education and talent,教育,29
国家卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,29
济南市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,28
中共中央宣传部,public_science_culture,宣传文化与公众科学,Public science and culture,宣传,28
农业部(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,农业,28
中国科学院,science_technology,科技创新与科研管理,Science and technology,科学院,28
浙江省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,27
青岛市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,27
苏州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,27
交通运输部,sectoral_public_services,行业应用与公共服务,Sectoral public services,交通,27
甘肃省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,26
内蒙古自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,26
新乡市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,26
自然资源部,sectoral_public_services,行业应用与公共服务,Sectoral public services,自然资源,26
上海市经济和信息化委员会,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,25
青海省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,25
宁夏回族自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,25
商务部,sectoral_public_services,行业应用与公共服务,Sectoral public services,商务,25
宁波市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,24
江苏省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,24
山东省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,24
宁夏回族自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,24
郑州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,24
中国气象局,sectoral_public_services,行业应用与公共服务,Sectoral public services,气象,24
国家中医药管理局,sectoral_public_services,行业应用与公共服务,Sectoral public services,中医药,24
杭州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
青岛市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
济南市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,23
无锡市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
苏州市教育局,education_talent,教育与人才培养,Education and talent,教育,23
吉林省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,23
黑龙江省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
河北省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,23
江苏省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,22
苏州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,22
襄阳市人民政府(原襄樊市政府),sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,22
海南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,22
北京市科学技术委员会,science_technology,科技创新与科研管理,Science and technology,科学技术,22
西安市教育局,education_talent,教育与人才培养,Education and talent,教育,21
邯郸市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,21
珠海市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,21
成都市教育局,education_talent,教育与人才培养,Education and talent,教育,20
成都市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,20
辽宁省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,20
河北省教育厅,education_talent,教育与人才培养,Education and talent,教育,20
广东省教育厅,education_talent,教育与人才培养,Education and talent,教育,20
