issue_year,category_code,policy_file_count
1985,OA,1
1985,OD,0
1985,OSS,0
1985,OERs,0
1985,CS,0
1985,OPR,0
1985,OI,0
1985,ORM,0
1986,OA,0
1986,OD,0
1986,OSS,0
1986,OERs,0
1986,CS,0
1986,OPR,0
1986,OI,0
1986,ORM,0
1987,OA,1
1987,OD,0
1987,OSS,0
1987,OERs,0
1987,CS,0
1987,OPR,0
1987,OI,0
1987,ORM,0
1988,OA,0
1988,OD,0
1988,OSS,0
1988,OERs,0
1988,CS,0
1988,OPR,0
1988,OI,0
1988,ORM,0
1989,OA,0
1989,OD,0
1989,OSS,0
1989,OERs,0
1989,CS,0
1989,OPR,0
1989,OI,0
1989,ORM,0
1990,OA,0
1990,OD,0
1990,OSS,0
1990,OERs,0
1990,CS,0
1990,OPR,0
1990,OI,0
1990,ORM,0
1991,OA,0
1991,OD,0
1991,OSS,0
1991,OERs,0
1991,CS,0
1991,OPR,0
1991,OI,0
1991,ORM,0
1992,OA,0
1992,OD,0
1992,OSS,0
1992,OERs,0
1992,CS,0
1992,OPR,0
1992,OI,0
1992,ORM,0
1993,OA,0
1993,OD,0
1993,OSS,0
1993,OERs,0
1993,CS,0
1993,OPR,0
1993,OI,0
1993,ORM,0
1994,OA,0
1994,OD,0
1994,OSS,0
1994,OERs,1
1994,CS,0
1994,OPR,0
1994,OI,0
1994,ORM,0
1995,OA,0
1995,OD,0
1995,OSS,0
1995,OERs,0
1995,CS,0
1995,OPR,0
1995,OI,0
1995,ORM,0
1996,OA,0
1996,OD,0
1996,OSS,0
1996,OERs,0
1996,CS,0
1996,OPR,0
1996,OI,0
1996,ORM,0
1997,OA,0
1997,OD,0
1997,OSS,0
1997,OERs,0
1997,CS,0
1997,OPR,0
1997,OI,0
1997,ORM,0
1998,OA,0
1998,OD,0
1998,OSS,0
1998,OERs,3
1998,CS,0
1998,OPR,0
1998,OI,0
1998,ORM,0
1999,OA,0
1999,OD,0
1999,OSS,0
1999,OERs,3
1999,CS,0
1999,OPR,1
1999,OI,1
1999,ORM,0
2000,OA,0
2000,OD,0
2000,OSS,0
2000,OERs,1
2000,CS,1
2000,OPR,0
2000,OI,1
2000,ORM,0
2001,OA,0
2001,OD,0
2001,OSS,0
2001,OERs,10
2001,CS,0
2001,OPR,0
2001,OI,2
2001,ORM,0
2002,OA,0
2002,OD,3
2002,OSS,0
2002,OERs,9
2002,CS,1
2002,OPR,1
2002,OI,2
2002,ORM,0
2003,OA,0
2003,OD,3
2003,OSS,1
2003,OERs,9
2003,CS,2
2003,OPR,0
2003,OI,6
2003,ORM,0
2004,OA,1
2004,OD,4
2004,OSS,2
2004,OERs,29
2004,CS,2
2004,OPR,0
2004,OI,14
2004,ORM,0
2005,OA,5
2005,OD,7
2005,OSS,1
2005,OERs,23
2005,CS,7
2005,OPR,2
2005,OI,13
2005,ORM,1
2006,OA,19
2006,OD,46
2006,OSS,7
2006,OERs,50
2006,CS,61
2006,OPR,5
2006,OI,100
2006,ORM,0
2007,OA,9
2007,OD,23
2007,OSS,4
2007,OERs,37
2007,CS,47
2007,OPR,5
2007,OI,59
2007,ORM,1
2008,OA,9
2008,OD,16
2008,OSS,5
2008,OERs,46
2008,CS,40
2008,OPR,0
2008,OI,45
2008,ORM,1
2009,OA,8
2009,OD,15
2009,OSS,6
2009,OERs,50
2009,CS,13
2009,OPR,6
2009,OI,69
2009,ORM,0
2010,OA,11
2010,OD,20
2010,OSS,5
2010,OERs,94
2010,CS,28
2010,OPR,7
2010,OI,91
2010,ORM,0
2011,OA,11
2011,OD,25
2011,OSS,5
2011,OERs,156
2011,CS,42
2011,OPR,8
2011,OI,116
2011,ORM,0
2012,OA,15
2012,OD,29
2012,OSS,6
2012,OERs,140
2012,CS,43
2012,OPR,9
2012,OI,122
2012,ORM,0
2013,OA,9
2013,OD,33
2013,OSS,4
2013,OERs,133
2013,CS,34
2013,OPR,20
2013,OI,88
2013,ORM,0
2014,OA,6
2014,OD,33
2014,OSS,5
2014,OERs,158
2014,CS,27
2014,OPR,22
2014,OI,98
2014,ORM,0
2015,OA,10
2015,OD,81
2015,OSS,18
2015,OERs,165
2015,CS,33
2015,OPR,12
2015,OI,170
2015,ORM,0
2016,OA,22
2016,OD,243
2016,OSS,44
2016,OERs,305
2016,CS,82
2016,OPR,21
2016,OI,274
2016,ORM,1
2017,OA,15
2017,OD,220
2017,OSS,26
2017,OERs,317
2017,CS,71
2017,OPR,25
2017,OI,278
2017,ORM,5
2018,OA,5
2018,OD,252
2018,OSS,24
2018,OERs,357
2018,CS,42
2018,OPR,19
2018,OI,280
2018,ORM,1
2019,OA,12
2019,OD,173
2019,OSS,16
2019,OERs,280
2019,CS,31
2019,OPR,36
2019,OI,228
2019,ORM,4
2020,OA,6
2020,OD,182
2020,OSS,43
2020,OERs,235
2020,CS,31
2020,OPR,29
2020,OI,236
2020,ORM,7
2021,OA,21
2021,OD,325
2021,OSS,75
2021,OERs,328
2021,CS,77
2021,OPR,36
2021,OI,331
2021,ORM,9
2022,OA,19
2022,OD,340
2022,OSS,86
2022,OERs,417
2022,CS,147
2022,OPR,25
2022,OI,354
2022,ORM,5
2023,OA,12
2023,OD,188
2023,OSS,61
2023,OERs,218
2023,CS,138
2023,OPR,4
2023,OI,246
2023,ORM,8
2024,OA,9
2024,OD,157
2024,OSS,68
2024,OERs,128
2024,CS,35
2024,OPR,9
2024,OI,194
2024,ORM,5
2025,OA,11
2025,OD,168
2025,OSS,76
2025,OERs,83
2025,CS,18
2025,OPR,9
2025,OI,165
2025,ORM,3
2026,OA,0
2026,OD,22
2026,OSS,11
2026,OERs,8
2026,CS,5
2026,OPR,2
