issue_year,policy_file_count,rolling_3yr,is_partial_year
1985,1,0.5,False
1986,0,0.6666666666666666,False
1987,1,0.3333333333333333,False
1988,0,0.3333333333333333,False
1989,0,0.0,False
1990,0,0.0,False
1991,0,0.0,False
1992,0,0.3333333333333333,False
1993,1,1.0,False
1994,2,1.3333333333333333,False
1995,1,1.3333333333333333,False
1996,1,0.6666666666666666,False
1997,0,1.3333333333333333,False
1998,3,2.3333333333333335,False
1999,4,3.0,False
2000,2,5.666666666666667,False
2001,11,9.333333333333334,False
2002,15,15.0,False
2003,19,26.333333333333332,False
2004,45,36.0,False
2005,44,97.33333333333333,False
2006,203,132.66666666666666,False
2007,151,162.33333333333334,False
2008,133,141.33333333333334,False
2009,140,164.66666666666666,False
2010,221,222.66666666666666,False
2011,307,281.3333333333333,False
2012,316,306.3333333333333,False
2013,296,309.6666666666667,False
2014,317,347.0,False
2015,428,516.0,False
2016,803,682.6666666666666,False
2017,817,832.0,False
2018,876,793.6666666666666,False
2019,688,744.6666666666666,False
2020,670,772.3333333333334,False
2021,959,919.6666666666666,False
2022,1130,954.0,False
2023,773,808.0,False
2024,521,582.3333333333334,False
2025,453,347.0,False
2026,67,260.0,True
