issue_year,policy_file_count,policy_entry_count,science_output,science_output_indicator,science_output_unit,science_output_source_file,science_output_source_sheet,policy_file_index,policy_entry_index,open_science_index,science_output_index,policy_intensity_index,policy_level,output_level,quadrant,quadrant_label_zh
2005,44,142,3.38674183394618,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.0,0.0,0.0,0.0,0.0,low,low,low_policy_low_output,双弱滞后型
2006,203,518,5.617140899534156,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.46878601029863076,0.4503420050141549,0.9191280153127857,0.023085848753330338,0.4595640076563928,low,low,low_policy_low_output,双弱滞后型
2007,151,409,5.854991162492652,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.37752618443697555,0.36798221287694244,0.745508397313918,0.02554772890801565,0.372754198656959,low,low,low_policy_low_output,双弱滞后型
2008,133,348,9.12174822647986,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.3384340323093476,0.3117059411163083,0.6501399734256559,0.059360449087398036,0.32506998671282794,low,low,low_policy_low_output,双弱滞后型
2009,140,260,15.3187772768238,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.35422714986051923,0.21019970587082681,0.5644268557313461,0.12350308507730337,0.28221342786567305,low,low,low_policy_low_output,双弱滞后型
2010,221,347,17.65458200471324,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.4950119018424601,0.3107034810250722,0.8057153828675323,0.147679940016558,0.40285769143376615,low,low,low_policy_low_output,双弱滞后型
2011,307,575,22.351953057313,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.596563576752911,0.4867463347585947,1.0833099115115057,0.19630029649523265,0.5416549557557528,low,low,low_policy_low_output,双弱滞后型
2012,316,609,27.38164618549853,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.605496656490855,0.50678241749482,1.112279073985675,0.2483603679974353,0.5561395369928375,low,low,low_policy_low_output,双弱滞后型
2013,296,510,29.68954098917088,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.5852839722857841,0.44491498944190994,1.030198961727694,0.27224833997438347,0.515099480863847,low,low,low_policy_low_output,双弱滞后型
2014,317,558,32.27230430411089,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.6064735232486768,0.47628022917555324,1.0827537524242299,0.2989813511983802,0.5413768762121149,low,low,low_policy_low_output,双弱滞后型
2015,428,837,36.92662320867665,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.6993356291125583,0.6177239595446031,1.3170595886571614,0.34715609442633505,0.6585297943285807,high,high,high_policy_high_output,协同领先型
2016,803,1755,40.28232144862075,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.8941570815715691,0.8761698451077077,1.7703269266792767,0.38188940436374036,0.8851634633396384,high,high,high_policy_high_output,协同领先型
2017,817,1709,44.4220111859595,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.8995113071990165,0.8668961172685417,1.766407424467558,0.4247374545787912,0.883203712233779,high,high,high_policy_high_output,协同领先型
2018,876,1713,49.30139177164699,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.9211119411756761,0.8677123725512886,1.7888243137269648,0.4752417091532624,0.8944121568634824,high,high,high_policy_high_output,协同领先型
2019,688,1206,57.35088899284188,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.8462821860336128,0.745195674306599,1.5914778603402118,0.5585584026795261,0.7957389301701059,high,high,high_policy_high_output,协同领先型
2020,670,1180,63.08171664308146,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.8380717229089929,0.7375879325967944,1.5756596555057873,0.6178755995014128,0.7878298277528937,high,high,high_policy_high_output,协同领先型
2021,959,1909,72.96893367604329,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.9491581023019873,0.9055384614534003,1.8546965637553876,0.7202136969907679,0.9273482818776938,high,high,high_policy_high_output,协同领先型
2022,1130,2502,82.15639412667912,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,1.0,1.0,2.0,0.8153089315893661,1.0,high,high,high_policy_high_output,协同领先型
2023,773,2057,91.88739291035289,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.882362697004171,0.9316114694587734,1.8139741664629443,0.9160300848595377,0.9069870832314721,high,high,high_policy_high_output,协同领先型
2024,521,925,100.0,综合指数,index,科技创新指标与科研活动综合指数.xlsx,总览与指数,0.7601913372150639,0.6526094092018204,1.4128007464168844,1.0,0.7064003732084422,high,high,high_policy_high_output,协同领先型
