entry_id,policy_file_id,issue_year,stage_id,stage_name,stage_name_zh,province,region,region_en,category_code,category_name
E000001,P009323,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000001,P009323,2023,4,High-level diffusion and adjustment,高位扩散与调整期,四川省,西部,Western,OI,Open infrastructure
E000002,P009455,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000002,P009455,2023,4,High-level diffusion and adjustment,高位扩散与调整期,四川省,西部,Western,OI,Open infrastructure
E000003,P009455,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000003,P009455,2023,4,High-level diffusion and adjustment,高位扩散与调整期,四川省,西部,Western,OI,Open infrastructure
E000004,P000789,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000005,P000790,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000006,P000792,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,CS,Citizen science
E000007,P000792,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,CS,Citizen science
E000008,P000792,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,CS,Citizen science
E000009,P000794,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000010,P000795,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000011,P000797,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000012,P001147,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000013,P007884,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000014,P009297,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000015,P009298,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000016,P009300,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000017,P009304,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000018,P009305,2011,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000019,P009306,2005,1,Emergence,萌芽期,重庆市,西部,Western,OI,Open infrastructure
