stage_id,stage_name,stage_name_zh,region,region_en,category_code,category_name,entry_count,entry_share
1,Emergence,萌芽期,东部,Eastern,OA,Open access,0,0.0
1,Emergence,萌芽期,东部,Eastern,OD,Open data,2,0.01904761904761905
1,Emergence,萌芽期,东部,Eastern,OSS,Open-source software,4,0.0380952380952381
1,Emergence,萌芽期,东部,Eastern,OERs,Open educational resources,59,0.5619047619047619
1,Emergence,萌芽期,东部,Eastern,CS,Citizen science,17,0.1619047619047619
1,Emergence,萌芽期,东部,Eastern,OPR,Open peer review,0,0.0
1,Emergence,萌芽期,东部,Eastern,OI,Open infrastructure,23,0.21904761904761905
1,Emergence,萌芽期,东部,Eastern,ORM,Open research methods,0,0.0
1,Emergence,萌芽期,中部,Central,OA,Open access,0,0.0
1,Emergence,萌芽期,中部,Central,OD,Open data,7,0.21212121212121213
1,Emergence,萌芽期,中部,Central,OSS,Open-source software,0,0.0
1,Emergence,萌芽期,中部,Central,OERs,Open educational resources,22,0.6666666666666666
1,Emergence,萌芽期,中部,Central,CS,Citizen science,1,0.030303030303030304
1,Emergence,萌芽期,中部,Central,OPR,Open peer review,1,0.030303030303030304
1,Emergence,萌芽期,中部,Central,OI,Open infrastructure,2,0.06060606060606061
1,Emergence,萌芽期,中部,Central,ORM,Open research methods,0,0.0
1,Emergence,萌芽期,西部,Western,OA,Open access,4,0.042105263157894736
1,Emergence,萌芽期,西部,Western,OD,Open data,6,0.06315789473684211
1,Emergence,萌芽期,西部,Western,OSS,Open-source software,0,0.0
1,Emergence,萌芽期,西部,Western,OERs,Open educational resources,10,0.10526315789473684
1,Emergence,萌芽期,西部,Western,CS,Citizen science,2,0.021052631578947368
1,Emergence,萌芽期,西部,Western,OPR,Open peer review,2,0.021052631578947368
1,Emergence,萌芽期,西部,Western,OI,Open infrastructure,70,0.7368421052631579
1,Emergence,萌芽期,西部,Western,ORM,Open research methods,1,0.010526315789473684
1,Emergence,萌芽期,东北,Northeastern,OA,Open access,0,0.0
1,Emergence,萌芽期,东北,Northeastern,OD,Open data,0,0.0
1,Emergence,萌芽期,东北,Northeastern,OSS,Open-source software,0,0.0
1,Emergence,萌芽期,东北,Northeastern,OERs,Open educational resources,9,0.6
1,Emergence,萌芽期,东北,Northeastern,CS,Citizen science,3,0.2
1,Emergence,萌芽期,东北,Northeastern,OPR,Open peer review,0,0.0
1,Emergence,萌芽期,东北,Northeastern,OI,Open infrastructure,3,0.2
1,Emergence,萌芽期,东北,Northeastern,ORM,Open research methods,0,0.0
2,Gradual expansion,渐进扩展期,东部,Eastern,OA,Open access,52,0.028276237085372486
2,Gradual expansion,渐进扩展期,东部,Eastern,OD,Open data,130,0.07069059271343121
2,Gradual expansion,渐进扩展期,东部,Eastern,OSS,Open-source software,45,0.024469820554649267
2,Gradual expansion,渐进扩展期,东部,Eastern,OERs,Open educational resources,654,0.3556280587275693
2,Gradual expansion,渐进扩展期,东部,Eastern,CS,Citizen science,383,0.20826536160957043
2,Gradual expansion,渐进扩展期,东部,Eastern,OPR,Open peer review,21,0.011419249592169658
2,Gradual expansion,渐进扩展期,东部,Eastern,OI,Open infrastructure,553,0.30070690592713434
