city_zh,province_zh,file_count
吉林市,吉林省,115
广州市,广东省,113
青岛市,山东省,90
苏州市,江苏省,88
深圳市,广东省,87
西安市,陕西省,82
南京市,江苏省,79
宁波市,浙江省,75
厦门市,福建省,70
济南市,山东省,70
郑州市,河南省,65
成都市,四川省,61
武汉市,湖北省,56
杭州市,浙江省,54
合肥市,安徽省,52
沈阳市,辽宁省,46
福州市,福建省,45
无锡市,江苏省,44
淄博市,山东省,41
石家庄市,河北省,39
南昌市,江西省,38
贵阳市,贵州省,36
南宁市,广西壮族自治区,36
珠海市,广东省,36
大连市,辽宁省,36
泉州市,福建省,35
邯郸市,河北省,33
昆明市,云南省,32
长沙市,湖南省,30
东营市,山东省,28
淮南市,安徽省,28
南通市,江苏省,27
新乡市,河南省,26
银川市,宁夏回族自治区,26
常州市,江苏省,25
扬州市,江苏省,25
太原市,山西省,24
襄阳市,湖北省,24
兰州市,甘肃省,22
安阳市,河南省,22
徐州市,江苏省,22
三明市,福建省,22
温州市,浙江省,21
鞍山市,辽宁省,21
宁德市,福建省,20
洛阳市,河南省,20
台州市,浙江省,19
忻州市,山西省,19
马鞍山市,安徽省,18
江门市,广东省,18
宿迁市,江苏省,18
镇江市,江苏省,18
衢州市,浙江省,18
滁州市,安徽省,17
赣州市,江西省,17
普洱市,云南省,17
烟台市,山东省,16
哈尔滨市,黑龙江省,16
汕头市,广东省,16
梅州市,广东省,15
楚雄彝族自治州,云南省,15
佛山市,广东省,15
蚌埠市,安徽省,15
长春市,吉林省,15
淮安市,江苏省,14
青浦区,上海市,14
桂林市,广西壮族自治区,14
广安市,四川省,14
湖州市,浙江省,14
德州市,山东省,14
绍兴市,浙江省,13
舟山市,浙江省,13
内江市,四川省,13
咸阳市,陕西省,13
包头市,内蒙古自治区,13
葫芦岛市,辽宁省,13
遵义市,贵州省,13
惠州市,广东省,13
十堰市,湖北省,13
宜昌市,湖北省,13
枣庄市,山东省,13
丽水市,浙江省,13
沧州市,河北省,13
芜湖市,安徽省,13
泰州市,江苏省,13
金昌市,甘肃省,13
抚顺市,辽宁省,12
宝鸡市,陕西省,12
南平市,福建省,12
威海市,山东省,12
鹰潭市,江西省,12
廊坊市,河北省,12
中山市,广东省,12
漳州市,福建省,12
双鸭山市,黑龙江省,12
鄂尔多斯市,内蒙古自治区,12
平顶山市,河南省,12
许昌市,河南省,12
滨州市,山东省,12
晋城市,山西省,11
嘉峪关市,甘肃省,11
连云港市,江苏省,11
淮北市,安徽省,11
唐山市,河北省,11
开封市,河南省,11
萍乡市,江西省,11
平凉市,甘肃省,11
亳州市,安徽省,11
衡水市,河北省,11
天水市,甘肃省,11
红河哈尼族彝族自治州,云南省,10
嘉兴市,浙江省,10
曲靖市,云南省,10
金华市,浙江省,10
鹤壁市,河南省,10
怒江傈僳族自治州,云南省,10
本溪市,辽宁省,10
六盘水市,贵州省,10
遂宁市,四川省,10
达州市,四川省,10
菏泽市,山东省,10
宣城市,安徽省,10
百色市,广西壮族自治区,10
呼和浩特市,内蒙古自治区,10
朝阳市,辽宁省,10
龙岩市,福建省,9
肇庆市,广东省,9
辽阳市,辽宁省,9
邵阳市,湖南省,9
濮阳市,河南省,9
南阳市,河南省,9
大同市,山西省,9
焦作市,河南省,9
白银市,甘肃省,9
伊春市,黑龙江省,9
崇左市,广西壮族自治区,9
运城市,山西省,9
盘锦市,辽宁省,9
九江市,江西省,9
宜宾市,四川省,9
牡丹江市,黑龙江省,9
四平市,吉林省,9
临沂市,山东省,9
新余市,江西省,9
德阳市,四川省,9
盐城市,江苏省,8
石景山区,北京市,8
眉山市,四川省,8
嘉定区,上海市,8
无锡市江阴市,江苏省,8
莆田市,福建省,8
海东市,青海省,8
泰安市,山东省,8
吕梁市,山西省,8
温州市鹿城区,浙江省,8
三门峡市,河南省,8
玉林市,广西壮族自治区,8
郴州市,湖南省,8
咸宁市,湖北省,8
安顺市,贵州省,8
杭州市临安区,浙江省,8
北海市,广西壮族自治区,8
阳江市,广东省,8
韶关市,广东省,8
阜阳市,安徽省,8
宿州市,安徽省,8
潍坊市,山东省,8
聊城市,山东省,8
辽源市,吉林省,8
营口市,辽宁省,8
信阳市,河南省,8
梧州市,广西壮族自治区,8
呼伦贝尔市,内蒙古自治区,8
锦州市,辽宁省,7
黔南布依族苗族自治州,贵州省,7
西双版纳傣族自治州,云南省,7
临汾市,山西省,7
邢台市,河北省,7
阳泉市,山西省,7
武威市,甘肃省,7
保山市,云南省,7
嘉兴市桐乡市,浙江省,7
乐山市,四川省,7
绍兴市诸暨市,浙江省,7
乌鲁木齐市,新疆维吾尔自治区,7
黄山市,安徽省,7
绵阳市,四川省,7
西宁市,青海省,7
齐齐哈尔市,黑龙江省,7
黑河市,黑龙江省,7
浦东新区,上海市,7
杨浦区,上海市,7
长治市,山西省,7
晋中市,山西省,7
陇南市,甘肃省,7
安庆市,安徽省,7
湖州市德清县,浙江省,7
温州市乐清市,浙江省,7
河池市,广西壮族自治区,7
玉溪市,云南省,7
文山壮族苗族自治州,云南省,7
顺义区,北京市,7
秦皇岛市,河北省,6
钦州市,广西壮族自治区,6
昌平区,北京市,6
吉安市,江西省,6
宜春市,江西省,6
苏州市昆山市,江苏省,6
闵行区,上海市,6
临沧市,云南省,6
黄南藏族自治州,青海省,6
广元市,四川省,6
丰台区,北京市,6
大兴区,北京市,6
密云区,北京市,6
雅安市,四川省,6
东莞市,广东省,6
保定市,河北省,6
湖州市长兴县,浙江省,6
驻马店市,河南省,6
揭阳市,广东省,6
海口市,海南省,6
漯河市,河南省,6
鄂州市,湖北省,6
商洛市,陕西省,6
乌海市,内蒙古自治区,6
清远市,广东省,6
凉山彝族自治州,四川省,6
南充市,四川省,6
拉萨市,西藏自治区,6
毕节市,贵州省,6
丹东市,辽宁省,6
铁岭市,辽宁省,5
铜仁市,贵州省,5
延安市,陕西省,5
七台河市,黑龙江省,5
汉中市,陕西省,5
温州市平阳县,浙江省,5
乌兰察布市,内蒙古自治区,5
阜新市,辽宁省,5
铜陵市,安徽省,5
海淀区,北京市,5
东城区,北京市,5
崇左市龙州县,广西壮族自治区,5
深圳市宝安区,广东省,5
深圳市龙华区,广东省,5
黄冈市,湖北省,5
娄底市,湖南省,5
柳州市三江侗族自治县,广西壮族自治区,5
丽水市龙泉市,浙江省,5
日照市,山东省,5
周口市,河南省,5
温州市洞头区,浙江省,5
温州市苍南县,浙江省,5
柳州市,广西壮族自治区,5
河源市,广东省,5
白城市,吉林省,5
承德市,河北省,5
通州区,北京市,5
阿坝藏族羌族自治州,四川省,5
鸡西市,黑龙江省,5
静安区,上海市,5
宝山区,上海市,5
绥化市,黑龙江省,5
湘潭市,湖南省,5
朔州市,山西省,5
红桥区,天津市,5
黔西南布依族苗族自治州,贵州省,4
榆林市,陕西省,4
通化市,吉林省,4
恩施土家族苗族自治州,湖北省,4
绍兴市越城区,浙江省,4
荆门市,湖北省,4
贺州市,广西壮族自治区,4
百色市德保县,广西壮族自治区,4
贺州市钟山县,广西壮族自治区,4
张掖市,甘肃省,4
百色市凌云县,广西壮族自治区,4
宝坻区,天津市,4
河东区,天津市,4
宿迁市泗阳县,江苏省,4
大庆市,黑龙江省,4
苏州市张家港市,江苏省,4
河北区,天津市,4
吉林市;长春市,吉林省,4
津南区,天津市,4
西青区,天津市,4
蓟州区,天津市,4
贵港市,广西壮族自治区,4
玉林市容县,广西壮族自治区,4
舟山市嵊泗县,浙江省,4
温州市龙港市,浙江省,4
商丘市,河南省,4
济宁市,山东省,4
嘉兴市海宁市,浙江省,4
迪庆藏族自治州,云南省,4
嘉兴市平湖市,浙江省,4
嘉兴市南湖区,浙江省,4
嘉兴市嘉善县,浙江省,4
茂名市,广东省,4
河池市宜州区,广西壮族自治区,4
来宾市,广西壮族自治区,4
嘉兴市海盐县,浙江省,4
巴彦淖尔市,内蒙古自治区,4
鹤岗市,黑龙江省,4
普陀区,上海市,4
苏州市常熟市,江苏省,4
松江区,上海市,4
自贡市,四川省,4
南通市如东县,江苏省,4
泸州市,四川省,4
和平区,天津市,4
防城港市,广西壮族自治区,4
湖州市吴兴区,浙江省,3
舟山市定海区,浙江省,3
湖州市南浔区,浙江省,3
温州市永嘉县,浙江省,3
杭州市萧山区,浙江省,3
河池市南丹县,广西壮族自治区,3
绍兴市上虞区,浙江省,3
崇左市扶绥县,广西壮族自治区,3
台州市路桥区,浙江省,3
宁波市奉化区,浙江省,3
大理白族自治州,云南省,3
通辽市,内蒙古自治区,3
来宾市兴宾区,广西壮族自治区,3
来宾市忻城县,广西壮族自治区,3
来宾市象州县,广西壮族自治区,3
南宁市武鸣区,广西壮族自治区,3
南宁市横县,广西壮族自治区,3
崇左市大新县,广西壮族自治区,3
南宁市邕宁区,广西壮族自治区,3
阳江市阳春市,广东省,3
阳江市江城区,广东省,3
南宁市江南区,广西壮族自治区,3
潮州市,广东省,3
惠州市龙门县,广东省,3
汕尾市,广东省,3
广州市番禺区,广东省,3
丽水市缙云县,浙江省,3
丽水市遂昌县,浙江省,3
柳州市柳江区,广西壮族自治区,3
梧州市蒙山县,广西壮族自治区,3
湛江市,广东省,3
云浮市,广东省,3
金华市磐安县,浙江省,3
株洲市,湖南省,3
上饶市,江西省,3
固原市,宁夏回族自治区,3
滨海新区,天津市,3
常德市,湖南省,3
钦州市钦北区,广西壮族自治区,3
西城区,北京市,3
抚州市,江西省,3
石嘴山市,宁夏回族自治区,3
攀枝花市,四川省,3
