name_zh,name_short_zh,name_en,file_count
江苏省,江苏,Jiangsu,686
浙江省,浙江,Zhejiang,658
广东省,广东,Guangdong,616
山东省,山东,Shandong,511
河南省,河南,Henan,508
福建省,福建,Fujian,440
广西壮族自治区,广西,Guangxi,433
安徽省,安徽,Anhui,404
陕西省,陕西,Shaanxi,380
上海市,上海,Shanghai,336
四川省,四川,Sichuan,332
辽宁省,辽宁,Liaoning,304
湖北省,湖北,Hubei,302
北京市,北京,Beijing,273
重庆市,重庆,Chongqing,261
山西省,山西,Shanxi,256
云南省,云南,Yunnan,250
河北省,河北,Hebei,244
湖南省,湖南,Hunan,244
江西省,江西,Jiangxi,242
黑龙江省,黑龙江,Heilongjiang,200
贵州省,贵州,Guizhou,197
甘肃省,甘肃,Gansu,195
天津市,天津,Tianjin,172
吉林省,吉林,Jilin,166
内蒙古自治区,内蒙古,Inner Mongolia,145
海南省,海南,Hainan,123
宁夏回族自治区,宁夏,Ningxia,111
新疆维吾尔自治区,新疆,Xinjiang,99
青海省,青海,Qinghai,81
西藏自治区,西藏,Tibet,33
台湾省,台湾,Taiwan,0
香港特别行政区,香港,Hong Kong,0
澳门特别行政区,澳门,Macao,0
